raw_kwh_usage,c_variable_and_fixed_per_kwh
18.91041779,26.947
17.81943215,25.301000000000002
15.39501961,25.006999999999998
15.07176461,24.423000000000002
15.35461274,23.752
15.75868149,24.002
16.243564,25.913
16.84966713,27.342
16.20315713,28.027
16.48600525,26.644
15.83949524,23.782
14.54647523,22.643
12.32409707,21.576
12.16246956,19.675
12.9729959,17.139
11.84043277,18.764
13.69371789,18.276
16.57660587,17.387999999999998
20.28317613,16.157
17.22868768,15.76
17.0570872,16.902
15.95884416,18.16
15.44404274,20.448999999999998
14.41443989,21.926000000000002
14.07123894,21.046
13.31619685,19.307000000000002
12.66411504,18.761
13.11027628,18.316
12.59547485,18.587
13.52211742,20.145
14.24283941,23.429000000000002
14.3457997,24.996
14.38011979,26.606
15.0322016,26.617
14.38011979,24.755
13.52211742,24.157
11.53155191,23.258
11.01675048,22.976
13.66750838,21.678
14.15405399,22.442
15.52522797,21.903
17.82526174,20.483
20.5676097,21.678
23.75227185,22.442
25.16767724,22.509
24.54843738,24.572
22.95610631,27.295
21.54070091,29.5
19.77144416,28.28
19.1522043,26.803
18.13488167,26.384
17.82526174,26.225
17.64833607,26.489
18.17911309,26.883
18.26757593,28.741
18.70989011,29.45
18.62142728,29.71
18.4445016,28.244
17.2502533,27.64
14.9059881,24.226
13.04826852,23.476
12.56172291,22.73
15.57342855,21.193
16.01557636,23.522
17.14550966,23.089
18.71759078,22.566
22.59866603,22.314
25.9393384,22.651
27.16752677,23.448
26.57799636,24.064
25.39893552,28.892
24.07249208,29.003999999999998
22.64779357,27.794999999999998
21.61611533,25.255
21.02658492,23.675
20.68269217,23.25
20.83007478,23.303
21.02658492,23.517
20.78094724,25.025
20.28967189,28.016
19.84752408,29.707
19.60188641,29.759
18.3245705,29.380000000000003
16.0647039,27.945
14.64000538,26.715
14.73826046,25.948999999999998
15.80531998,24.683
16.25405147,23.991
17.4008097,23.993000000000002
18.99629941,24.083
22.93516464,24.045
26.32558028,23.993000000000002
27.57205663,25.615000000000002
26.97374798,28.733
25.7771307,30.014
24.43093625,30.78
22.9850237,29.901
21.93798357,28.259
21.33967493,27.075
20.99066155,26.339
21.14023872,26.08
21.33967493,27.691
21.09037966,30.072
20.59178913,30.837
20.14305764,32.786
19.89376238,32.408
18.59742698,30.878
16.30391052,29.77
14.85799797,28.166999999999998
14.95771607,27.396
18.52749779,26.77
19.05351508,26.75
20.39778148,26.458
22.26806517,26.139
26.88532803,26.062
30.85968086,26.348
32.32084,26.823999999999998
31.61948363,27.937
30.21677084,30.547
28.63871898,31.119999999999997
26.94377439,30.232
25.71640072,27.759999999999998
25.01504434,27.37
24.60591978,26.756
24.78125888,26.869
25.01504434,26.726
24.72281251,29.737000000000002
24.13834886,31.576
23.61233157,33.275999999999996
23.32009974,33.198
21.80049425,32.649
19.11196144,31.016
17.41701685,30.02
17.53390958,29.181
13.51143463,27.891
13.96636509,28.443
15.01270515,27.692
17.10538526,27.174
19.92595411,26.662
24.74821697,26.636
26.47695272,26.804000000000002
26.79540404,27.46
24.56624479,29.224
22.83750904,30.096
21.29074548,28.994
20.15341934,27.59
19.33454451,26.758
19.06158623,25.779
18.69764187,25.09
18.47017664,26.12
18.69764187,27.699
18.78862796,30.193
18.74313491,31.577
18.47017664,31.500999999999998
17.46932963,31.048
14.87622601,30.41
13.23847636,29.274
12.73805285,28.923
12.68959937,27.924
12.68959937,28.076
14.34837053,27.441
16.67065015,27.049
19.69790752,26.816
23.59601974,26.984
24.34246676,27.091
23.72042758,27.559
21.8957793,28.34
20.27847742,28.48
19.40762256,28.52
18.28795203,27.753999999999998
15.79979529,27.683
15.46804106,26.974
15.75832601,25.938
16.1730188,26.392
16.67065015,27.547
17.29268933,29.871000000000002
16.62918087,31.153
16.91946583,31.999000000000002
16.25595736,32.144999999999996
14.92894043,31.3
12.64813009,30.327
12.48225297,29.594
17.438523,28.074
17.18207413,27.704
19.54140371,27.413
23.69587537,27.222
28.15808567,26.754
24.97811971,27.073999999999998
24.67038107,27.527
24.31135265,30.668
23.13168786,35.538
22.05460262,39.073
21.74686398,32.554
20.61848896,29.744999999999997
20.05430145,27.355
20.56719918,26.477
21.02880715,26.279
20.7210685,27.168
22.10589239,29.336000000000002
22.36234126,31.821
21.9007333,36.35
21.9007333,34.823
21.28525601,34.86
18.66947756,31.524
17.90013096,30.05
16.87433549,29.173
19.60043639,28.331
20.1658336,27.990000000000002
21.92484712,27.304000000000002
23.93514829,27.068
29.02372313,27.149
33.16996928,27.075
34.17511988,27.512999999999998
33.42125694,30.291999999999998
32.03917488,33.974000000000004
30.59427091,35.949
28.83525739,31.081
27.2647096,28.403
26.82495622,27.407
26.38520284,26.439
26.51084666,26.067
26.57366858,26.759
27.07624387,27.497
26.82495622,31.231
26.25955902,31.649
25.0659427,32.25
23.87232638,30.954
20.91969654,29.250999999999998
18.97221728,27.993000000000002
18.84657346,27.692
19.32901649,26.812
19.87778983,26.084
21.28021059,25.717
23.23140468,25.69
28.0484151,25.568
32.19470256,26.267
33.71907294,26.992
32.98737516,28.731
31.52397959,31.282
29.87765956,32.831
28.10938992,30.683
26.82891879,27.969
26.09722101,26.746
25.6703973,26.296
25.85332174,26.63
26.09722101,27.634999999999998
25.79234693,29.162
25.18259878,30.808
24.63382544,32.469
24.32895136,33.74
22.74360616,33.713
19.93876465,31.75
18.170495,30.291999999999998
18.29244463,29.119999999999997
16.46945993,28.071
16.93704713,28.116999999999997
18.13199217,27.707
19.7945244,27.337
23.89890085,27.25
27.43178185,27.251
28.73063515,28.278
28.10718557,30.362000000000002
26.86028639,32.759
25.45752482,36.692
23.95085498,32.649
22.85981821,30.764
22.23636862,30.006
21.87268969,29.538999999999998
22.02855209,29.298
22.23636862,28.529
21.97659796,29.830000000000002
21.45705663,31.238999999999997
20.98946944,31.909
20.72969878,31.798
19.37889134,31.044999999999998
16.98900126,28.883000000000003
15.48233142,27.875999999999998
15.58623968,28.15
15.47203446,26.945
15.91130358,27.355
17.03388021,26.02
18.59572596,25.631999999999998
22.45153265,25.25
25.77045487,25.231
26.99064686,25.256999999999998
26.40495471,25.989
25.23357039,28.916
23.91576304,31.171
22.50034033,29.786
21.47537906,28.137999999999998
20.8896869,26.264
20.54803314,25.899
20.69445618,25.427
20.8896869,25.709
20.6456485,25.918
20.15757171,27.411
19.71830259,29.035
19.47426419,29.655
18.20526452,29.182
15.96011126,27.443
14.54468854,24.75
14.6423039,24.622
14.91224966,24.764
15.43800205,22.884
16.10714146,23.235
17.54101162,23.33
21.3168697,23.458
25.57068451,23.719
26.86116765,23.849
26.14423258,23.83
24.9015451,24.281
23.7066533,25.861
22.32057882,24.018
21.12568702,22.692
20.45654761,21.625
20.07418223,21.521
20.16977358,22.735
20.36095627,23.735
20.16977358,26.55
19.88299954,28.837
19.59622551,29.75
19.11826879,30.799
18.01896834,30.86
15.8681631,30.392
14.19531458,29.65
14.14751891,29.15
14.69917648,28.381
15.40586766,28.25
16.39523531,28.201
17.90284316,27.768
21.86031375,26.68
26.24179905,26.429000000000002
26.05334807,26.45
25.29954414,26.45
23.69771081,28.093
22.70834316,28.427
22.00165198,27.147
20.25848041,26.229
19.03354904,25.315
18.70375982,24.621
18.84509806,24.303
19.45756374,25.740000000000002
19.9286912,26.79
19.83446571,28.946
19.22200002,29.608
18.65664708,30.943
18.60953433,30.363
16.44234806,29.815
14.88762747,29.041999999999998
15.07607845,29.05
18.29258236,27.547
18.02357379,26.608
20.49845258,25.932
24.85639132,25.672
29.53714034,25.379
26.20143414,25.335
25.87862387,25.95
25.50201188,29.288
24.26457248,30.952
23.13473651,32.886
22.81192623,31.068
21.62828855,28.34
21.03646971,26.278
21.57448684,25.686
22.05870225,25.724
21.73589198,27.057
23.18853823,27.604
23.45754679,28.108
22.97333137,28.131999999999998
22.97333137,28.961000000000002
22.32771082,26.235
19.58382347,24.187
18.77679777,23.898
17.70076352,23.637
20.10508623,23.488
20.68504064,22.495
22.48934326,21.86
24.55140338,21.912
29.77099308,22.239
34.02399209,22.495
35.05502216,23.494
34.28174959,24.796
32.86408328,28.243000000000002
31.38197756,30.303
29.57767494,28.892
27.96669047,24.415
27.51561481,24.028
27.06453916,24.518
27.19341792,25.861
27.2578573,27.096
27.77337233,29.119
27.51561481,29.197
26.9356604,30.747
25.7113122,31.569
24.486964,31.494999999999997
21.45831319,31.012999999999998
19.46069244,29.625
19.33181369,29.044999999999998
21.56570312,27.574
22.1779786,27.663
23.74268262,27.527
25.91966211,27.432
31.29408025,27.409
35.92016166,27.624000000000002
37.62092691,27.874000000000002
36.80455959,29.863
35.17182497,31.113999999999997
33.3349985,32.75
31.36211084,32.242
29.93346805,30.955000000000002
29.11710074,29.151
28.64088648,28.478
28.84497831,28.953
29.11710074,29.69
28.7769477,30.717
28.0966416,32.071
27.48436612,33.209
27.14421308,34.463
25.37541723,34.007
22.24600921,32.14
20.27312154,30.328
20.40918276,29.788
22.46176621,28.931
23.09948197,28.783
24.72920003,28.525
26.99663384,28.829
32.59436106,28.409
37.41265791,28.75
39.18409059,28.95
38.33380291,30.749000000000002
36.63322753,33.783
34.72008025,36.986000000000004
32.66521838,36.755
31.17721493,35.138999999999996
30.32692725,33.218
29.8309261,32.202
30.04349803,31.759999999999998
30.32692725,31.419999999999998
29.97264072,31.759999999999998
29.26406765,32.95
28.62635189,36.055
28.27206536,35.467
26.42977538,34.402
23.17033928,32.453
21.11547738,31.041999999999998
21.257192,30.062
23.41208467,28.647
